EquipmentGroup	EquipmentType
VESSEL INSPECTION,	Escape Routes
VESSEL INSPECTION,	Housekeeping
VESSEL INSPECTION,	Railings Ladders  Gates Doors
VESSEL INSPECTION,	Hazardous Area Doors
VESSEL INSPECTION,	Ambient Noise
VESSEL INSPECTION,	Lighting
VESSEL INSPECTION,	EX Electrical Condition
VESSEL INSPECTION,	HSE Emergency Equipment
DRILLING UNIT - JACKING/SKIDDING,	Legs and rack
DRILLING UNIT - JACKING/SKIDDING,	Jacking Towers
DRILLING UNIT - JACKING/SKIDDING,	Jacking Motors & Pinions
DRILLING UNIT - JACKING/SKIDDING,	Jacking Electrical
DRILLING UNIT - JACKING/SKIDDING,	Jacking Controls
DRILLING UNIT - JACKING/SKIDDING,	Fixation System
DRILLING UNIT - JACKING/SKIDDING,	Skidding Mechanical
DRILLING UNIT - JACKING/SKIDDING,	Skidding Controls
DRILLING UNIT - JACKING/SKIDDING,	Cantilever Drag Chain
DRILLING UNIT - JACKING/SKIDDING,	Spud Can Jetting
DRILLING UNIT - JACKING/SKIDDING,	Raw Water System
DECK HANDLING EQUIPMENT,	Deck Cranes
DECK HANDLING EQUIPMENT,	BOP Hoist
DECK HANDLING EQUIPMENT,	BOP Sea Fastening
DECK HANDLING EQUIPMENT,	Wire Rope, Lifting Gear & Baskets
DECK HANDLING EQUIPMENT,	Bulk Loading Station Port
DECK HANDLING EQUIPMENT,	Bulk Loading Station Starboard
DECK HANDLING EQUIPMENT,	Fork Lift
DECK HANDLING EQUIPMENT,	Pipe Handling Knuckle Boom Crane
DECK HANDLING EQUIPMENT,	Machinery Space lifting Equipment
DRILLING EQUIPMENT,	Drill Floor Winches
DRILLING EQUIPMENT,	Moon Pool Winches
DRILLING EQUIPMENT,	Drill Floor Manrider
DRILLING EQUIPMENT,	Moonpool Manrider
DRILLING EQUIPMENT,	Drawworks
DRILLING EQUIPMENT,	Top Drive
DRILLING EQUIPMENT,	Catheads
DRILLING EQUIPMENT,	Hydraulic Tong
DRILLING EQUIPMENT,	Mud Bucket
DRILLING EQUIPMENT,	Rotary Table
DRILLING EQUIPMENT,	Travelling Block
DRILLING EQUIPMENT,	Crown Block
DRILLING EQUIPMENT,	Deadline Anchor
DRILLING EQUIPMENT,	HPU
DRILLING EQUIPMENT,	Stabbing Basket
DRILLING EQUIPMENT,	Catwalk
RACKING EQUIPMENT,	finger boards
RACKING EQUIPMENT,	Red Zone
RACKING EQUIPMENT,	Pipe Racker
IN HOLE EQUIPMENT,	Drill Pipes
IN HOLE EQUIPMENT,	Drill Collars
IN HOLE EQUIPMENT,	Safety Valves
IN HOLE EQUIPMENT,	Subs & Crossovers
IN HOLE EQUIPMENT,	Fishing Equipment
IN HOLE EQUIPMENT,	Drill Pipe Equipment
IN HOLE EQUIPMENT,	Drill Collar Equipment
IN HOLE EQUIPMENT,	Casing Equipment
